team,fill-colour
Anaheim Ducks,#F94F26
Arizona Coyotes,#852533
Boston Bruins,#FAB82C
Buffalo Sabres,#FDB72B
Calgary Flames,#F2BD49
Carolina Hurricanes,#CD112D
Chicago Blackhawks,#2D2926
Colorado Avalanche,#1F6191
Columbus Blue Jackets,#051E43
Dallas Stars,#45816A
Detroit Red Wings,#C91132
Edmonton Oilers,#022246
Florida Panthers,#B79560
Los Angeles Kings,#A1AAAD
Minnesota Wild,#164834
Montreal Canadiens,#AA192F
Nashville Predators,#C6C1AB
New Jersey Devils,#C50E2E
New York Islanders,#F2491E
New York Rangers,#073CA5
Ottawa Senators,#C69221
Philadelphia Flyers,#040204
Pittsburgh Penguins,#FAB52E
San Jose Sharks,#0E6272
St. Louis Blues,#083186
Tampa Bay Lightning,#06215C
Toronto Maple Leafs,#0F3369
Vancouver Canucks,#14895D
Vegas Golden Knights,#8B734E
Washington Capitals,#E58F9E
Winnipeg Jets,#942135